"","Month","_id","#","corridor","Origin to Destination","Corridor Length (Km)","am_peak","pm_peak"
"1","January",1,1,"Coronation Drive","High St to Boomerang St",2.64,346,277
"2","January",2,2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,730,710
"3","January",3,3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,379,380
"4","January",4,4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,403,386
"5","January",5,5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,1247,1098
"6","January",6,6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,556,465
"7","January",7,7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,746,560
"8","January",8,8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,702,697
"9","January",9,9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,467,395
"10","January",10,10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,316,332
"11","January",11,11,"Moggill Road","Russell Tce to Coronation Dr",3.31,379,437
"12","January",12,12,"Old Cleveland Road","Creek Rd to Montague St",5.87,647,608
"13","January",13,13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,1167,922
"14","January",14,14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,466,408
"15","January",15,15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,688,585
"16","January",16,16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,540,566
"17","January",17,17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,816,794
"18","January",18,18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,1346,1183
"19","February",1,1,"Coronation Drive","High St to Boomerang St",2.64,586,320
"20","February",2,2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,1060,810
"21","February",3,3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,400,402
"22","February",4,4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,505,390
"23","February",5,5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,1700,1275
"24","February",6,6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,826,524
"25","February",7,7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,862,591
"26","February",8,8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,837,876
"27","February",9,9,"Lutwyche Road-Bowen Br Road","Norman Ave to Gregory Tce",3.93,700,545
"28","February",10,10,"Milton Road","Croydon St/Morley St to Petrie Tce",2.7,389,370
"29","February",11,11,"Moggill Road","Russell Tce to Coronation Dr",3.31,452,604
"30","February",12,12,"Old Cleveland Road","Creek Rd to Montague St",5.87,940,678
"31","February",13,13,"Oxley Road-Coonan Street","Oxley Rd Ped Xing to Moggill Rd",8.39,1826,1114
"32","February",14,14,"Sandgate Road-Abbotsford Road","Bayview St to Campbell St/Abbotsford Rd",3.94,590,404
"33","February",15,15,"Stanley Street (inbound)","Old Cleveland Rd/Cavendish Rd to Grey St/Vulture St",4.05,1083,684
"34","February",16,16,"Vulture Street (outbound)","Grey St/Vulture St to Old Cleveland Rd/Cavendish Rd",4.05,595,638
"35","February",17,17,"Waterworks Road-Musgrave Road","Settlement Rd to Kelvin Grove Rd/Musgrave Rd",8.11,1085,850
"36","February",18,18,"Wynnum Road","Belmont Rd to Story Bridge Sth approach",10.5,2086,1336
"37","March",1,1,"Coronation Drive","High St to Boomerang St",2.64,532,317
"38","March",2,2,"Fairfield Road-Annerley Road","Sherwood Rd to Stanley St",6.77,1003,690
"39","March",3,3,"Inner City Bypass Eastbound","Hale St/Milton Rd to KSD/Cooksley St",5.63,386,395
"40","March",4,4,"Inner City Bypass Westbound","KSD/Cooksley St to Hale St/Milton Rd",5.63,532,392
"41","March",5,5,"Ipswich Road-Bradfield Highway","Hamilton Rd to Ann/Gipps St",9.44,1501,1218
"42","March",6,6,"Kelvin Grove Road","Samford Rd to MusgraveRd/Kelvin Grove Rd",4.24,819,498
"43","March",7,7,"Kingsford Smith Drive-Breakfast Creek Road","Links Ave to Montpelier/Breakfast Creek Rd",5.52,874,581
"44","March",8,8,"Logan Road","Klumpp Rd to Old Cleveland Rd",7.36,909,812
